0.10,7.79,7.91,8.12,8.37,8.70,9.54,10.07,10.85,20.42
0.20,8.23,8.31,8.45,8.74,9.39,11.29,11.97,13.17,27.59
0.30,8.42,8.58,8.86,9.25,10.23,13.74,15.48,18.45,37.43
0.40,8.55,8.76,9.16,9.83,12.38,16.41,19.31,22.48,46.99
0.50,8.74,8.95,9.30,10.27,13.89,18.32,22.97,26.76,56.29
